"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"prot_0071_03","Sorup","74","আমার চাচার কোনো সন্তান নেই। তিনি মারা যাওয়ার আগে তাঁর সব সম্পত্তি পালিত পুত্র ও তার পরিবারকে লিখে দিয়েছেন। চাচার বাড়ি ও আমাদের বাড়ি একই দাগে। রাস্তায় বেরোতে হলে তাঁর বাড়ির ওপর দিয়ে যেতে হয়। চাচার পালক পুত্র বাড়ির ওপর দিয়ে যাতায়াত নিষেধ করে। আমার বাবা চাচাকে বণ্টননামা দলিল করে দেননি। বাবাও মারা গেছেন। এখন কি কোনো আইনে আমাদের বাড়ির ভাগ বদল করতে পারব? আর চাচার সম্পত্তির অংশ কি আমরা পাব? নাম প্রকাশে অনিচ্ছুক","আমার চাচার কোনো ছেলেমেয়ে ছিল না। মারা যাওয়ার আগে তিনি তাঁর সব সম্পত্তি তাঁর পালক ছেলে আর ছেলের পরিবারের নামে লিখে দিয়ে গেছেন। চাচার বাড়ি আর আমাদের বাড়ি একই দাগে। রাস্তায় বের হতে গেলে চাচার বাড়ির ওপর দিয়েই যেতে হয়। এখন চাচার পালক ছেলে তার বাড়ির ওপর দিয়ে যাওয়া-আসা করতে মানা করে দিয়েছে। আমার বাবা চাচাকে কোনো বণ্টননামা দলিল করে দেননি। বাবাও এখন মারা গেছেন। এখন কোনো আইনে কি আমরা বাড়ির ভাগটা বদলাতে পারব? আর চাচার সম্পত্তিতে কি আমরা কোনো ভাগ পাব?","no",""
"prot_0073_01","Sorup","67","প্রেম করে বিয়ে করি। আমরা দুজনই প্রাপ্তবয়স্ক। আমাদের বিয়ের ব্যাপারটা কিছুদিন আগে জানাজানি হয়। একপর্যায়ে ওর বাবা ওকে ভয়ভীতি দেখিয়ে জোরপূর্বক কাজি অফিসে নিয়ে তালাকনামায় সই করান। প্রায় এক মাস হয়ে গেল তালাকনামায় সই করিয়েছেন; কিন্তু এর মধ্যে আমার কাছে কোনো তালাকের নোটিশ বা তালাকনামা বা অন্য কোনো কাগজ পাঠাননি। আমার জিজ্ঞাসা, এতে কি তালাক কার্যকর হয়েছে? হয়ে থাকলে কাবিননামায় উল্লিখিত দেনমোহর কি আমাকে পরিশোধ করতে হবে?স্বপনসিলেট","ভালোবেসে বিয়ে করেছি, আমরা দুজনেই প্রাপ্তবয়স্ক। কিছুদিন আগে আমাদের বিয়ের কথা জানাজানি হয়ে যায়। শেষমেশ ওর বাবা ওকে ভয় দেখিয়ে জোর করে কাজি অফিসে নিয়ে গিয়ে তালাকনামায় সই করিয়ে নেন। প্রায় এক মাস হয়ে গেল সই করানো হয়েছে, কিন্তু এর মধ্যে আমার কাছে কোনো তালাকের নোটিশ, তালাকনামা বা অন্য কোনো কাগজ পাঠানো হয়নি। আমার জানার বিষয়, এতে কি তালাক কার্যকর হয়ে গেছে? যদি হয়ে থাকে, তাহলে কাবিননামায় যে দেনমোহর লেখা আছে, সেটা কি আমাকে দিতে হবে?","yes","Removed signature (name and district)"
"prot_0074_02","Sorup","64","আমার দাদা দুটি বিয়ে করেন। আমার বাবা প্রথম পক্ষের সন্তান। সৎ দাদির চার ছেলে ও এক মেয়ে। তাঁরাই আমার দাদার সম্পত্তি দেখাশোনা করেন। কিন্তু তাঁরা আমার বাবাকে তাঁর পৈতৃক সম্পত্তি থেকে বঞ্চিত করতে চান। আমি আমার মা-বাবার একমাত্র সন্তান। তাঁরা সম্পত্তির জন্য আমাকে মেরে ফেলার হুমকি দিচ্ছেন। বাবাকেও ধরে নিয়ে যাওয়ার হুমকি দিচ্ছেন। নিরাপত্তার জন্য আমাদের আইনি কী ব্যবস্থা নিলে ভালো হয়?নাম প্রকাশে অনিচ্ছুকগাজীপুর","আমার দাদা দুটো বিয়ে করেছিলেন। আমার বাবা প্রথম ঘরের ছেলে। সৎদাদির ঘরে চার ছেলে আর এক মেয়ে। দাদার সম্পত্তি এখন তাঁরাই দেখাশোনা করেন। কিন্তু তাঁরা আমার বাবাকে তাঁর বাপের সম্পত্তি থেকে বঞ্চিত করতে চাইছেন। আমি মা-বাবার একমাত্র সন্তান। সম্পত্তির জন্য তাঁরা আমাকে মেরে ফেলার হুমকি দিচ্ছেন, বাবাকেও তুলে নিয়ে যাওয়ার হুমকি দিচ্ছেন। নিজেদের নিরাপত্তার জন্য কী আইনি ব্যবস্থা নিলে আমাদের ভালো হবে?","yes","Removed district in signature"
"prot_0077_06","Sorup","109","কিছুদিন আগে স্বাস্থ্য খাতে লোক নিয়োগের পরীক্ষা হয়। এ সময় একজন নেতা আমাকে স্বাস্থ্য খাতে চাকরি দেবে বলে লিখিত পরীক্ষার আগেই ৫০ হাজার টাকা হাতিয়ে নেন। তিনি বলেন আমাকে লিখিত পরীক্ষায় পাস করাবেন। কিন্তু লিখিত পরীক্ষায় পাস করাতে পারেননি। এখন ওই নেতা আমাকে টাকা ফেরত দিচ্ছেন না। টাকা নেওয়ার আগে কথা ছিল, চাকরি না দিতে পারলে টাকা ফেরত দিয়ে দেবেন। আজ টাকা দেবেন, কাল দেবেন—এই বলে তিনি তিন মাস সময় পার করেন। কিন্তু টাকা দিচ্ছেন না। এখন আমি কি তাঁর বিরুদ্ধে আইনি ব্যবস্থা নিতে পারব? টাকা দেওয়ার সময় দলিল করা হয়নি। দু-তিনজন লোক সাক্ষী ছিল। এখন টাকা ফেরত পাওয়ার উপায় কী? আমি কি তাঁর বিরুদ্ধে প্রতারণার মামলা করতে পারব?","কিছুদিন আগে স্বাস্থ্য বিভাগে লোক নেওয়ার পরীক্ষা হয়। তখন এক নেতা আমাকে স্বাস্থ্য বিভাগে চাকরি পাইয়ে দেবে বলে লিখিত পরীক্ষার আগেই ৫০ হাজার টাকা হাতিয়ে নেন। বলেছিলেন, লিখিত পরীক্ষায় আমাকে পাস করিয়ে দেবেন। কিন্তু পাস করাতে পারেননি। এখন ওই নেতা আমার টাকা ফেরত দিচ্ছেন না। টাকা নেওয়ার আগে কথা হয়েছিল, চাকরি দিতে না পারলে টাকা ফিরিয়ে দেবেন। আজ দেব, কাল দেব বলে বলে তিন মাস কাটিয়ে দিয়েছেন, কিন্তু টাকা দিচ্ছেন না। এখন কি আমি তাঁর বিরুদ্ধে আইনি ব্যবস্থা নিতে পারব? টাকা দেওয়ার সময় কোনো দলিল করা হয়নি, তবে দু-তিনজন সাক্ষী ছিলেন। এখন টাকাটা ফেরত পাওয়ার উপায় কী? তাঁর বিরুদ্ধে কি আমি প্রতারণার মামলা করতে পারব?","no",""
"prot_0080_01","Sorup","113","আমরা চার ভাই। আমি মেজো। ছোটবেলায় আমার চাচা ও চাচি আমাকে মৌখিকভাবে দত্তক নেন ও লালন-পালন করেন । তাঁরা ছিলেন নিঃসন্তান। পরে আমি তাঁদের ভরণপোষণের দায়িত্ব পালন করি। আমার চাচা-চাচিকে ১৪ শতাংশ জমি কিনে দেন। এই জমি কেনার আগেই চাচির বাবা-মা ও ভাই মৃত ছিলেন। চাচির পরিবারেও আর কোনো অংশীদারের খবর জানা নেই। আমার চাচা আমাকে তাঁর সব স্থাবর ও অস্থাবর সম্পত্তি দানকবলা দিয়ে যান এবং চাচির নামে কেনা ১৪ শতাংশ জমি উল্লেখ করে কবলা দেন।আমার প্রশ্ন, হিন্দু আইনে আমি কি ওই ১৪ শতাংশ জমির অধিকারী হতে পারব? দানকবলা থেকে প্রাপ্ত সব সম্পত্তি আমি কি বিক্রি করতে পারব? আমার মৃত্যুর পর আমার ছেলেরা কি ওই সব সম্পত্তির প্রকৃত উত্তরাধিকারী হতে পারবে? ফটিক হালদারমাদারীপুর","আমরা চার ভাই, আমি মেজো। ছোটবেলায় আমার চাচা-চাচি মুখে মুখে আমাকে দত্তক নেন আর মানুষ করেন। তাঁদের নিজেদের কোনো সন্তান ছিল না। পরে আমিই তাঁদের ভরণপোষণের দায়িত্ব নিই। চাচা চাচিকে ১৪ শতাংশ জমি কিনে দেন। জমিটা কেনার আগেই চাচির মা-বাবা আর ভাই মারা গিয়েছিলেন। চাচির পরিবারের দিকে আর কোনো ভাগীদার আছে বলেও জানা নেই। চাচা তাঁর সব স্থাবর-অস্থাবর সম্পত্তি দানকবলা করে আমাকে দিয়ে যান, আর চাচির নামে কেনা ওই ১৪ শতাংশ জমির কথাও উল্লেখ করে কবলা দেন। আমার প্রশ্ন, হিন্দু আইনে আমি কি ওই ১৪ শতাংশ জমির মালিক হতে পারব? দানকবলায় পাওয়া সব সম্পত্তি কি আমি বিক্রি করতে পারব? আমি মারা যাওয়ার পর আমার ছেলেরা কি ওই সব সম্পত্তির আসল ওয়ারিশ হবে?","yes","Removed signature (name and district). Original sentence about who bought the 14 decimals is ambiguous; read as the uncle bought it in the aunt's name, matching the later text"
"prot_0083_02","Sorup","162","আমি এ বছর উচ্চমাধ্যমিক পরীক্ষা দেব। আমার বয়স ১৭ বছর। একটি ছেলেকে খুব ভালো বাসতাম। কিন্তু তা সে বিশ্বাস করতে চাইত না। সে বলত, তোমাকে ভালোবাসার প্রমাণ দিতে হবে। সে আমাকে একটা দলিলের মতো কাগজ দেয়। ওই কাগজে আমার ও তার জীবনবৃত্তান্ত লেখা ছিল। আমার বয়স লেখা ছিল ১৯, ওর বয়স ২৬ (ওর প্রকৃত বয়স ৩০)। আরও লেখা ছিল, আমরা পাঁচ বছর ধরে স্বামী-স্ত্রী হিসেবে বসবাস করে আসছি। কেউ যদি পরবর্তী সময়ে কিছু বলে, তবে সেটা মিথ্যা বলে গণ্য হবে। সবশেষে দুজনের সই। তবে সে আমাকে বলেছে, ‘এটা শুধু কাগজ, যা তুমি চাইলেই ফেরত পাবে। তুমি রাজি থাকলে আমাদের সামাজিকভাবে বিয়ে হবে, নতুবা নয়।’কিন্তু এখন কোনো এক বিশেষ কারণে তার সঙ্গে আমার সম্পর্ক নেই। এমনকি তাকে বিয়ে করাও সম্ভব নয়। একদিন ফোন করে তার কাছে ওই কাগজটা চাইলাম, সে তা দিতে অসম্মতি জানাল। বলল, আমি নাকি তার বিবাহিত স্ত্রী। আমার প্রশ্ন, এই কাগজে সই করার মাধ্যমে কি সত্যিই আমাদের বিয়ে হয়েছে? ভবিষ্যতে ওই কাগজ দিয়ে কি সে আমাকে আইনি সমস্যায় ফেলতে পারবে?","এ বছর আমি এইচএসসি পরীক্ষা দেব, বয়স ১৭। একটা ছেলেকে খুব ভালোবাসতাম। কিন্তু সে সেটা বিশ্বাস করতে চাইত না। বলত, ভালোবাসো তার প্রমাণ দিতে হবে। এরপর সে আমাকে দলিলের মতো দেখতে একটা কাগজ দেয়। ওই কাগজে আমার আর তার জীবনবৃত্তান্ত লেখা ছিল। আমার বয়স লেখা ছিল ১৯, ওর ২৬ (যদিও ওর আসল বয়স ৩০)। আরও লেখা ছিল, আমরা পাঁচ বছর ধরে স্বামী-স্ত্রী হিসেবে একসঙ্গে থাকছি, পরে কেউ অন্য কিছু বললে সেটা মিথ্যা বলে ধরা হবে। একদম নিচে দুজনের সই। তবে সে আমাকে বলেছিল, ‘এটা স্রেফ একটা কাগজ, তুমি চাইলেই ফেরত পাবে। তুমি রাজি হলে আমাদের সামাজিকভাবে বিয়ে হবে, না হলে হবে না।’ কিন্তু একটা বিশেষ কারণে এখন তার সঙ্গে আমার আর কোনো সম্পর্ক নেই, তাকে বিয়ে করাও আর সম্ভব না। একদিন ফোন করে ওই কাগজটা ফেরত চাইলাম, সে দিতে রাজি হলো না। বলল, আমি নাকি তার বিয়ে করা বউ। আমার প্রশ্ন, ওই কাগজে সই করায় কি সত্যিই আমাদের বিয়ে হয়ে গেছে? ভবিষ্যতে ওই কাগজ দেখিয়ে কি সে আমাকে আইনি ঝামেলায় ফেলতে পারবে?","no",""
"prot_0085_05","Sorup","61","আমি বাবার একমাত্র মেয়ে। আমার বাবার আরও চারটি ছোট ভাই আছেন। তাঁদের প্রত্যেকের ঘরে ছেলে ও মেয়ে আছে। এখন অনেকে বলে, আমার বাবার সম্পত্তি নাকি আমি একা পাব না, আমার বাবার অন্য ভাইয়েরাও পাবেন। এ অবস্থায় আমার বাবার কি কিছু করার আছে? যা করলে সব সম্পত্তি আমি পাব। অথবা কোনো কিছু করার না থাকলে আমাদের সম্পত্তি কীভাবে বণ্টন হবে? খালেদা আক্তাররংপুর","আমি বাবার একমাত্র মেয়ে। বাবার আরও চারজন ছোট ভাই আছেন, তাঁদের সবারই ছেলেমেয়ে আছে। এখন অনেকেই বলছে, বাবার সম্পত্তি নাকি আমি একা পাব না, বাবার ভাইয়েরাও ভাগ পাবেন। এই অবস্থায় বাবার কি এমন কিছু করার আছে, যাতে সব সম্পত্তি আমিই পাই? আর যদি কিছুই করার না থাকে, তাহলে আমাদের সম্পত্তি কীভাবে ভাগ হবে?","yes","Removed signature (name and district)"
"prot_0091_03","Sorup","113","আমরা চার ভাই সাত বোন। আমাদের বাবা কিছু সম্পত্তি চার ছেলের নামে, কিছু মায়ের নামে এবং কিছু নিজের নামে কিনেছিলেন। কিন্তু মেয়েদের নামে কোনো সম্পত্তি কেনেননি এবং টাকাপয়সা দিয়ে যাননি। বাবা-মা দুজনই মারা গেছেন। আমরা ভাই ও বোনেরা বাবা ও মায়ের রেখে যাওয়া সম্পত্তি ভাগাভাগি করতে বসলে ভাইয়েরা শুধু বাবা ও মায়ের নামে যে সম্পত্তি আছে তা-ই ইসলামি আইনমতে (এক ছেলে যা যাবে এক বোন তার অর্ধেক) দিতে চায় এবং বাবার কেনা তাদের নামে যে সম্পত্তি তার ভাগ বোনেরা পাবে না বলে জানাচ্ছে। যদিও আমার ভাইয়েরা ছোট থাকতে এই সম্পত্তি বাবা তাদের নামে কিনেছিলেন, যা আইনত বেনামি ক্রয়ের মধ্যে পড়ে। বাবার কেনা ভাইদের নামের সম্পত্তির ভাগ বোনেরা পাবে কি না? নাম প্রকাশে অনিচ্ছুকখুলনা","আমরা চার ভাই, সাত বোন। বাবা কিছু সম্পত্তি চার ছেলের নামে, কিছু মায়ের নামে আর কিছু নিজের নামে কিনেছিলেন। কিন্তু মেয়েদের নামে কোনো সম্পত্তি কেনেননি, টাকাপয়সাও দিয়ে যাননি। বাবা-মা দুজনেই মারা গেছেন। বাবা-মায়ের রেখে যাওয়া সম্পত্তি ভাগ করতে আমরা ভাইবোনেরা বসলে ভাইয়েরা শুধু বাবা আর মায়ের নামে থাকা সম্পত্তিটুকুই ইসলামি নিয়মে (এক ছেলে যা পাবে, এক বোন পাবে তার অর্ধেক) দিতে চায়। আর বাবা তাদের নামে যে সম্পত্তি কিনেছিলেন, সেটার ভাগ বোনেরা পাবে না বলে জানিয়ে দিয়েছে। অথচ ভাইয়েরা যখন ছোট ছিল, তখনই বাবা এসব সম্পত্তি তাদের নামে কিনেছিলেন, আইনের চোখে যেটা বেনামি কেনার মধ্যে পড়ে। বাবা ভাইদের নামে যে সম্পত্তি কিনেছিলেন, সেটাতে কি বোনেরা ভাগ পাবে?","yes","Removed district in signature"
"prot_0096_03","Sorup","17","আমার নানা মারা যাওয়ার আগে আমার মা মারা যান, আমি কি আমার নানার সম্পতি পাব? ফয়সাল আহমেদ","নানা মারা যাওয়ার আগেই আমার মা মারা গেছেন। এখন নানার সম্পত্তি থেকে কি আমি কোনো ভাগ পাব?","yes","Removed signature name"
"prot_0101_03","Sorup","20","ইসলামি ফরায়েজ মতে আমার পাওনা ও ছেলের দায়দায়িত্ব এবং তার ভরণপোষণ ও ভবিষ্যৎ জিম্মাদারি সম্পর্কে বিস্তারিত আইনি ব্যাখ্যা দেবেন কি?","ইসলামি ফরায়েজের হিসাবে আমার কী পাওনা, ছেলের দায়িত্ব কার, তার ভরণপোষণ কে দেবে আর ভবিষ্যতে সে কার জিম্মায় থাকবে, এসব নিয়ে আইনে কী আছে একটু বিস্তারিত বুঝিয়ে বলবেন?","no","Follow-up fragment: earlier context is missing"
"prot_0105_02","Sorup","57","আইন অধিকারের গত সংখ্যা থেকে হুমায়ূন আহমেদের সৃষ্টকর্মের কপিরাইট নিয়ে জানতে পেরেছি। তবু কিছু বিষয় স্পষ্ট করে জানতে চাইছি। হুমায়ূন আহমেদের প্রকাশনাগুলোর কিছু তাঁর প্রথম স্ত্রী গুলতেকিনের নামে করা আছে, আবার কিছু শাওনের নামে দেওয়া আছে। এখন এই বইগুলোর স্বত্ব কি গুলতেকিন ও শাওনই ভোগ করবেন, নাকি হুমায়ূন আহমেদের উত্তরাধিকারীরা মুসলিম আইন অনুযায়ী এর স্বত্ব ভোগ করবে?","আপনাদের আইনের পাতার গত সংখ্যায় একজন প্রয়াত জনপ্রিয় লেখকের লেখার কপিরাইট নিয়ে পড়েছি। তবুও কয়েকটা ব্যাপার পরিষ্কার করে জানতে চাই। ওই লেখকের কিছু বই তাঁর প্রথম স্ত্রীর নামে করা আছে, আবার কিছু বই দ্বিতীয় স্ত্রীর নামে দেওয়া আছে। এখন এই বইগুলোর স্বত্ব কি ওই দুই স্ত্রীই ভোগ করবেন, নাকি মুসলিম আইন অনুযায়ী লেখকের ওয়ারিশরা এর স্বত্ব পাবেন?","yes","Replaced the names of a well-known author and his two wives, and the column name; the question is about a real public figure"
"prot_0108_05","Sorup","16","দয়া করে জানাবেন, কী করে আমি বাড়িটি পাব এবং প্রিয়েমশনের মামলা করে ফল পাব কি না?","একটু জানাবেন, বাড়িটা আমি কীভাবে পেতে পারি, আর অগ্রক্রয়ের (প্রিয়েমশন) মামলা করলে কোনো লাভ হবে কি না?","no","Follow-up fragment: earlier context is missing"
"prot_0111_03","Sorup","46","তবে দ্বিতীয় বিয়ে প্রমাণ করার ক্ষেত্রে বিয়ের কাবিননামা দেখাতে হবে।বিয়ের বৈধ কাগজপত্র ছাড়া দ্বিতীয় বিয়ে প্রমাণ করা দুরূহ ব্যাপার। আপনি সংশ্লিষ্ট রেজিস্ট্রারের কাছে আপনার স্বামীর দ্বিতীয় বিয়ের তথ্যের জন্য আবেদন করতে পারেন। এরপর মুখ্য বিচারিক হাকিমের আদালতে আইনজীবীর মাধ্যমে মামলা করতে পারেন।চুক্তি না মানলে প্রতিকার কী?","তবে দ্বিতীয় বিয়ে প্রমাণ করতে হলে সেই বিয়ের কাবিননামা দেখাতে হবে। বিয়ের বৈধ কাগজপত্র ছাড়া দ্বিতীয় বিয়ে প্রমাণ করা বেশ কঠিন। আপনার স্বামীর দ্বিতীয় বিয়ের তথ্য চেয়ে আপনি সংশ্লিষ্ট রেজিস্ট্রারের কাছে আবেদন করতে পারেন। তারপর আইনজীবীর মাধ্যমে মুখ্য বিচারিক হাকিমের আদালতে মামলা করতে পারেন। কেউ চুক্তি না মানলে তার প্রতিকার কী?","no","Broken: the start is the tail of a lawyer's answer to an earlier question; the only new question is the last line (remedy when a contract is not honoured)"
"prot_0113_01","Sorup","54","চিকিৎসায় অবহেলা কিংবা চিকিৎসকদের অবহেলায় রোগীর মৃত্যুর খবর আমরা প্রায়ই জানতে পারছি। বড় বড় হাসপাতালেও এ ঘটনা ঘটছে। সম্প্রতি ঢাকার একটি বেসরকারি হাসপাতালে চিকিৎসকের অবহেলায় এক শিক্ষকের মৃত্যুর ঘটনা ঘটেছে। আমরা সাধারণ মানুষ তো সরকারি হাসপাতালগুলোর ওপর ভরসা রাখতেই পারছি না, আবার প্রাইভেট ক্লিনিকগুলোর ওপরও আস্থা হারিয়ে ফেলছি। কিন্তু এসব দেখার কি কেউ নেই?","চিকিৎসায় গাফিলতি বা ডাক্তারের অবহেলায় রোগী মারা যাওয়ার খবর আজকাল প্রায়ই শুনি। বড় বড় হাসপাতালেও এমন হচ্ছে। কিছুদিন আগে ঢাকার একটা প্রাইভেট হাসপাতালে ডাক্তারের অবহেলায় একজন শিক্ষক মারা গেছেন। আমরা সাধারণ মানুষ সরকারি হাসপাতালের ওপর তো ভরসা করতেই পারি না, এখন প্রাইভেট ক্লিনিকগুলোর ওপরও বিশ্বাস উঠে যাচ্ছে। এসব দেখার কি কেউই নেই?","no",""
"prot_0114_02","Sorup","14","ভরণপোষণের খরচ যদি দেওয়াও হয়, তাহলে আমার ছেলের কত বয়স পর্যন্ত আমি পেতে পারি?","খরচপাতি যদি দেওয়াও হয়, তাহলে ছেলের কত বছর বয়স পর্যন্ত আমি পেতে পারব?","no","Follow-up fragment. Original is ambiguous (keeping the son vs receiving maintenance until what age); ambiguity kept"
"prot_0115_02","Sorup","184","যেকোনো হত্যাকাণ্ডই ঘৃণিত ও জঘন্য অপরাধ এবং ফৌজদারি আইনে সর্বোচ্চ শাস্তিযোগ্য অপরাধ। সম্প্রতি আমিনবাজার, নোয়াখালীসহ দেশের বিভিন্ন স্থানে গণপিটুনিতে যে মানুষ হত্যার প্রবণতা দেখা গেছে, তা রীতিমতো ভয়াবহ এবং সামাজিক ও রাষ্ট্রীয় অসুস্থতার লক্ষণ। হত্যাকাণ্ড তা যেকোনোভাবেই এবং যার বা যাদের দিয়েই সংঘটিত হোক না কেন, তা ফৌজদারি আইনে বিচারযোগ্য।আমিনবাজার হত্যাকাণ্ড এবং সেখানে পুলিশের নিষ্ক্রিয়তার অভিযোগ শাস্তিযোগ্য অপরাধ। হত্যাকাণ্ডের অপরাধটি দণ্ডবিধির ৩০২ ও ৩৪ ধারায় আমলযোগ্য ও বিচার্য এবং সেখানে প্রত্যক্ষ বা পরোক্ষভাবে সহায়তাকারীরাও সমান অপরাধী, তা তারা যে-ই হোক না কেন এবং সংখ্যা যা-ই হোক। একই সঙ্গে বলা দরকার, পুলিশের নিষ্ক্রিয়তার বিষয়টি তাদের বিভাগীয় তদন্ত ও শাস্তির আওতাধীন।নোয়াখালীর হত্যাকাণ্ডে পুলিশের অংশগ্রহণের অভিযোগ পাওয়া গেছে, যা খুবই আতঙ্কজনক। কেননা, কোনোভাবেই কোনো বিচারবহির্ভূত হত্যাকাণ্ডই সমর্থনযোগ্য নয়। সবচেয়ে ঘৃণ্য অপরাধীরও বিচার পাওয়ার অধিকার আছে। নোয়াখালী হত্যাকাণ্ডে পুলিশের যেসব সদস্যের বিরুদ্ধে সম্পৃক্ততার অভিযোগ আছে, তাঁরা অন্য হত্যাকারীদের সঙ্গে সমানভাবে দায়ী হবেন এবং অপরাধ ফৌজদারি আইনে বিচার্য হবে। পুলিশের সদস্য বলে ফৌজদারি বিচারের আওতাবহির্ভূত থাকার সুযোগ নেই। সাধারণ তদন্তের পর প্রকাশ্য আদালতে অভিযুক্ত অন্য ব্যক্তিদের সঙ্গেই তাঁদের বিচার হবে। উপরন্তু, পুলিশের বিভাগীয় শাস্তিও তাঁদের ওপর বর্তাবে।কাজী জাহেদ ইকবালআইনজীবী, বাংলাদেশ সুপ্রিম কোর্ট।স্বামীর দৈহিক ও মানসিক নির্যাতনের প্রতিকার কীভাবে পাব?","যে কোনো খুনই ঘৃণ্য আর জঘন্য অপরাধ, ফৌজদারি আইনে এর জন্য সবচেয়ে কঠিন শাস্তির বিধান আছে। কিছুদিন হলো আমিনবাজার, নোয়াখালীসহ দেশের নানা জায়গায় গণপিটুনি দিয়ে মানুষ মেরে ফেলার যে প্রবণতা দেখা যাচ্ছে, সেটা সত্যিই ভয়াবহ, আর সমাজ ও রাষ্ট্র যে অসুস্থ হয়ে পড়েছে তার লক্ষণ। খুন যেভাবেই হোক, আর যে বা যারাই করুক, ফৌজদারি আইনে তার বিচার হবে। আমিনবাজারের হত্যাকাণ্ড আর সেখানে পুলিশের নিষ্ক্রিয় থাকার অভিযোগ, দুটোই শাস্তিযোগ্য অপরাধ। দণ্ডবিধির ৩০২ ও ৩৪ ধারায় এই খুনের অপরাধ আমলযোগ্য ও বিচারযোগ্য, আর যারা সরাসরি বা পরোক্ষভাবে সাহায্য করেছে, তারা যে-ই হোক আর সংখ্যায় যত জনই হোক, সমান অপরাধী। পাশাপাশি এটাও বলা দরকার, পুলিশের নিষ্ক্রিয়তার বিষয়টি তাদের বিভাগীয় তদন্ত ও শাস্তির আওতায় পড়ে। নোয়াখালীর হত্যাকাণ্ডে পুলিশ নিজেই জড়িত ছিল বলে অভিযোগ এসেছে, যা খুবই আতঙ্কের কথা। কারণ বিচারের বাইরে কোনো খুনই কোনোভাবে মেনে নেওয়া যায় না। সবচেয়ে জঘন্য অপরাধীরও বিচার পাওয়ার অধিকার আছে। নোয়াখালীর ঘটনায় যেসব পুলিশ সদস্যের বিরুদ্ধে জড়িত থাকার অভিযোগ আছে, তাঁরাও অন্য খুনিদের মতোই সমান দায়ী, আর তাঁদের অপরাধের বিচারও ফৌজদারি আইনেই হবে। পুলিশ বলে ফৌজদারি বিচার এড়ানোর কোনো সুযোগ নেই। স্বাভাবিক তদন্ত শেষে অন্য আসামিদের সঙ্গেই প্রকাশ্য আদালতে তাঁদের বিচার হবে। তার ওপর বিভাগীয় শাস্তিও তাঁদের ভোগ করতে হবে। স্বামী শারীরিক আর মানসিকভাবে নির্যাতন করলে তার প্রতিকার কীভাবে পাব?","yes","Broken: almost all of the text is a lawyer's opinion piece on mob lynching (lawyer's name and signature dropped); the actual citizen question is only the last line (remedy for a husband's physical and mental abuse)"
"prot_0128_03","Sorup","28","অনেকে মনে করেন যে খ্রিষ্টান নারীরা পুরুষের চেয়ে সম্পত্তি বেশি পান। কারণ, তাঁরা স্বামীর বাড়ির সম্পত্তি পান এবং বাবার বাড়ির সম্পত্তিও পান, এ সম্পর্কে আপনি কী মনে করেন?","অনেকের ধারণা, খ্রিষ্টান মেয়েরা ছেলেদের চেয়ে বেশি সম্পত্তি পায়, কারণ তারা স্বামীর বাড়ির সম্পত্তিও পায়, আবার বাবার বাড়ির সম্পত্তিও পায়। এ ব্যাপারে আপনার কী মনে হয়?","no",""
"prot_0136_03","Sorup","58","মাঝখানে আমাকে আশ্বাস দেওয়া হয়, পুরো টাকা ফেরতদেবে। এর কয়েক দিন পর আমাকে সত্তর হাজার টাকার একটা চেক দেয়। কিন্তু চেকটি নিয়ে ব্যাংকে গেলে ব্যাংক থেকে বলা হয়, এ হিসাব নম্বরে টাকা জমা নেই। পরবর্তী সময় তাদের সঙ্গে যোগাযোগ করা হলে তারা বারবার সময় নিয়েও টাকা ফেরত দিচ্ছে না। আমি এখন প্রতিষ্ঠানটির বিরুদ্ধে কীভাবে অইনি পদক্ষেপ নিতে পারি?","এর মধ্যে আমাকে ভরসা দেওয়া হয় যে পুরো টাকাই ফেরত দেবে। কয়েক দিন পর আমাকে সত্তর হাজার টাকার একটা চেক দেয়। কিন্তু চেক নিয়ে ব্যাংকে গেলে ব্যাংক জানায়, ওই অ্যাকাউন্টে কোনো টাকা জমা নেই। এরপর তাদের সঙ্গে যোগাযোগ করলে তারা বারবার সময় নেয়, কিন্তু টাকা আর ফেরত দেয় না। এখন ওই প্রতিষ্ঠানের বিরুদ্ধে আমি কীভাবে আইনি ব্যবস্থা নিতে পারি?","no","Text starts mid-story (beginning cut off)"
"ajke_0144_01","Sorup","23","আমার স্বামী ডিভোর্স লেটার দিয়েছে ১ মাস আগে। সেখানে ‘তিন তালাক এ বাইন’ লেখা ছিল। এতে আইন অনুযায়ী কি আমাদের তালাক হয়ে গেছে?","১ মাস আগে আমার স্বামী আমাকে ডিভোর্স লেটার পাঠিয়েছে। তাতে লেখা ছিল ‘তিন তালাক এ বাইন’। আইন অনুযায়ী কি এতে আমাদের তালাক হয়ে গেছে?","no",""
