qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,merged_from
ajke_0140_01,Sarwad,119,"একটি ছেলের সঙ্গে ফেসবুকে আমার পরিচয় হয়েছিল। দীর্ঘ দুই বছর সম্পর্ক করার পর দুই বছর আগে পারিবারিকভাবে আমাদের বিয়ে হয়। ছেলের বাসা অন্য জেলায়। গত অক্টোবর মাসে সে আমার সঙ্গে ঝামেলা বাধায়। এরপর সে আমাকে এমন এক পরিস্থিতিতে ফেলে যে আমি আমার বাড়িতে জানাতে বাধ্য হই। এরপর আমার বাবা এসে আমাকে তার কাছে নিয়ে যায়। চার মাস ধরে সে আমার কোনো খোঁজখবর রাখছে না। আমি ঢাকাতেই থাকি। সে আমাকে সামাজিকযোগাযোগের মাধ্যমসহ সব জায়গায় ব্লক করে রেখেছে। আমি বিভিন্নভাবে অনেকবার তার সঙ্গে যোগাযোগ করার চেষ্টা করেও সফল হইনি। এখন আমি তাকে ডিভোর্স দিতে চাই। ডিভোর্স দেওয়ার পর কোনো ঝামেলা যাতে না হয়, তার জন্য আমি কীভাবে আইনি পদক্ষেপ নিতে পারি? সে কি আমার ওপর উল্টো মামলা করে হয়রানি করতে পারে?","ফেসবুকে এক ছেলের সঙ্গে আলাপ হয়েছিল আমার। তার সঙ্গে দুই বছর সম্পর্ক থাকার পর দুই বছর আগে দুই পরিবারের আয়োজনেই বিয়ে করি। ওদের বাড়ি অন্য জেলায়। গত অক্টোবর থেকে সে আমার সঙ্গে ঝগড়াঝামেলা শুরু করে। পরিস্থিতি এমন করে তোলে যে নিজের বাড়িতে সব জানানো ছাড়া আমার উপায় ছিল না। বাবা এসে আমাকে তাঁর কাছে নিয়ে যান। এরপর চার মাস হয়ে গেল, সে আমার খোঁজ নেয় না। আমি এখনো একই শহরে থাকি। সামাজিক যোগাযোগমাধ্যম থেকে শুরু করে সবখানে আমাকে ব্লক করেছে। নানাভাবে বারবার যোগাযোগ করতে চেয়েছি, কিন্তু পারিনি। এখন তার সঙ্গে ডিভোর্স চাই। পরে যাতে কোনো ঝামেলায় না পড়ি, সে জন্য আইনের দিক থেকে কী কী করতে হবে? সে কি উল্টো আমার নামে মামলা দিয়ে আমাকে হয়রানিতে ফেলতে পারবে?",yes,,
ajke_0149_01,Sarwad,132,"আমি একটি ফুড শপ ব্যবসা শুরু করেছিলাম। কিন্তু দুর্ভাগ্যবশত ব্যবসার হিসাব এবং পরিস্থিতি ধরে রাখতে পারিনি। বিনিয়োগকারীদের কাছ থেকে নেওয়া প্রতিটি টাকা ব্যবসার পেছনে খরচ করেছি। একপর্যায়ে দৈনিক পরিচালন খরচ চালাতে হিমশিম খেয়ে দোকানটি বন্ধ করে দিতে বাধ্য হই। দোকানটি বিক্রি করার পর যে সামান্য টাকা পেয়েছিলাম, প্রচণ্ড চাপের মুখে পড়ে তা বিনিয়োগকারীদের একজনকে দিয়ে দিই। কিন্তু বাকি বিনিয়োগকারীরা এখন আমার ওপর মানসিক নির্যাতন চালাচ্ছেন। একজন আমাকে উকিল নোটিশ পাঠিয়েছেন এবং বাকিরা আমার বিরুদ্ধে প্রতারণা এবং চেক বাউন্সের মামলা করার হুমকি দিচ্ছেন। এই পুরো পরিস্থিতিতে মানসিকভাবে আমি সম্পূর্ণ ভেঙে পড়েছি। আমার শারীরিক অবস্থাও এখন খুব সংকটাপন্ন। আমার কাছে সব মেডিকেল ডকুমেন্ট রয়েছে এবং চিকিৎসক আমাকে অবিলম্বে হাসপাতালে ভর্তি হওয়ার পরামর্শ দিয়েছেন। চেক বাউন্স কিংবা প্রতারণার মামলার এই হুমকি থেকে বাঁচতে চাই। এ ছাড়া আইনি উপায়ে সময় আদায় করার কোনো পথ আছে কি?","খাবারের একটা দোকান দিয়ে ব্যবসা শুরু করেছিলাম। দুর্ভাগ্যজনকভাবে ব্যবসার হিসাব আর সার্বিক অবস্থা সামলে রাখতে পারিনি। বিনিয়োগকারীরা যত টাকা দিয়েছিলেন, সবটাই ব্যবসায় লাগিয়েছি। শেষে রোজকার দোকান চালানোর খরচ জোগাড় করাও এত কঠিন হয়ে গেল যে বন্ধ করে দিতে হলো। দোকান বেচে অল্প কিছু টাকা পাই। খুব চাপ দেওয়ায় সেই টাকা একজন বিনিয়োগকারীকে দিয়ে দিই। অন্য বিনিয়োগকারীরা এখন আমাকে মানসিকভাবে অত্যাচার করছেন। তাঁদের একজনের উকিল নোটিশ এসেছে। অন্যরাও প্রতারণা আর চেক বাউন্সের মামলা দেবেন বলে ভয় দেখাচ্ছেন। এসবের মধ্যে মন একেবারে ভেঙে গেছে। শরীরের অবস্থাও খুব খারাপ। চিকিৎসার সব কাগজ আমার কাছে আছে, ডাক্তার দেরি না করে হাসপাতালে ভর্তি হতে বলেছেন। চেক বাউন্স ও প্রতারণার মামলা করার এসব হুমকি থেকে কীভাবে রেহাই পাব? আইনের মাধ্যমে কিছুটা সময় পাওয়ার ব্যবস্থা কি করা যায়?",no,,
ajke_0156_01,Sarwad,31,আমার মামারা মায়ের সম্পত্তি দিচ্ছেন না। দিই-দিচ্ছি করে ঘোরাচ্ছেন অনেক বছর ধরে। এই কাজ কীভাবে করা সম্ভব? মায়ের নামে জমি খারিজ করতে গেলে মামাদের এনআইডি লাগবে। কীভাবে সেটা বের করতে পারি?,মায়ের প্রাপ্য সম্পত্তি মামারা বুঝিয়ে দিচ্ছেন না। দেবেন বলে বছরের পর বছর ঘুরিয়ে যাচ্ছেন। কীভাবে কাজটা এগোব? মায়ের নামে জমি খারিজ করতে মামাদের এনআইডি দরকার হবে। সেটা আমি কোথা থেকে সংগ্রহ করব?,no,,
ajke_0164_02,Sarwad,8,সে ক্ষেত্রে মা কি সারা জীবন পেনশন পাবেন?,তাহলে কি আমৃত্যু মায়ের এই পেনশন পাওয়ার অধিকার থাকবে?,no,আগের পরিস্থিতির বিবরণ নেই; শুধু পেনশন-সংক্রান্ত শেষ প্রশ্নটি আছে।,
ajke_0178_01,Sarwad,83,"প্রশ্ন: আমার বোনের বিয়ের বয়স তিন বছর। দুলাভাই তাঁর ভরণপোষণ করেছেন মাত্র ছয় মাস। এর মধ্যে আমার বোন জরায়ুর টিউমারের কারণে অসুস্থ হয়ে যান। অসুস্থতার কথা শুনে তিনি যোগাযোগ বন্ধ করে দিয়েছেন এবং চিকিৎসা না করিয়ে ডিভোর্স দিতে চাইছেন। দেড় বছর ধরে বাবা তাঁর চিকিৎসা করাতে গিয়ে ঋণগ্রস্ত হয়ে পড়েছেন। চিকিৎসার খরচ বহন করা বাবার পক্ষে সম্ভব হচ্ছে না। এত দিনের ভরণপোষণের টাকা, চিকিৎসার খরচ, এমনকি দেনমোহরের টাকাও দিতে চাইছেন না দুলাভাই। এ ক্ষেত্রে আপুর পক্ষ থেকে কী আইনি পদক্ষেপ নেওয়া যেতে পারে?","আমার আপুর বিয়ে হয়েছে তিন বছর হলো। দুলাভাই খরচ দিয়েছেন শুধু ছয় মাস। এরই মধ্যে জরায়ুতে টিউমার হয়ে আপু অসুস্থ হয়ে পড়েন। সেটা জানার পর দুলাভাই আর যোগাযোগ করেন না। চিকিৎসা করানোর বদলে এখন তালাক দিতে চান। গত দেড় বছর আপুর চিকিৎসা চালাতে গিয়ে বাবা ঋণে পড়ে গেছেন। এখন আর তাঁর পক্ষে চিকিৎসার টাকা জোগানো সম্ভব হচ্ছে না। দুলাভাই আগের এত দিনের সংসারের খরচ, চিকিৎসার টাকা বা দেনমোহর—কিছুই দিতে রাজি নন। এই অবস্থায় আপুর হয়ে আমরা আইনের সাহায্য কীভাবে নিতে পারি?",no,,
ajke_0188_01,Sarwad,98,"প্রশ্ন: বাবা মারা যাওয়ার পর ২০১৯ সাল থেকে আমরা চার ভাইবোন মিলে ব্যবসা দেখাশোনা শুরু করি। হঠাৎ মারা যাওয়ায় তিনি ব্যবসা বা অন্যান্য সম্পত্তি ভাগাভাগি করে দিয়ে যেতে পারেননি। প্রথম দিকে ভাইয়েরা আমাকে ব্যবসা সামলাতে দিয়ে নিজেদের কাজ করতে থাকে। ব্যবসা ঘুরে দাঁড়ানোর পর তারা এখন খাতা-কলমে নিজেদের ভাগ বুঝে নিতে চাইছে। আমি আমার ন্যায্য পাওনা পেতে চাই। আমি আসলে কতটুকু সম্পত্তি পাব? সম্পত্তি আমার বাবার নামেই আছে। ব্যবসা আমার মায়ের নামে। তিনিও গত মাসে মারা গেছেন। আমি বুঝতে চাইছি, ভাগাভাগির ক্ষেত্রে হিসাবটা কেমন হবে? ব্যবসাটা আমার নিজের হাতে দাঁড় করানো। এখান থেকে কি সবাই সমান বেনিফিট পাবে?","২০১৯ সালে বাবা মারা যাওয়ার পর আমরা চার ভাইবোন একসঙ্গে ব্যবসার দায়িত্ব নিই। হঠাৎ মৃত্যু হওয়ায় ব্যবসা কিংবা অন্য সম্পত্তির ভাগ বাবা ঠিক করে যেতে পারেননি। শুরুতে ভাইয়েরা নিজেদের কাজ নিয়ে থাকত, ব্যবসা চালানোর ভার আমার ওপরই দিয়েছিল। এখন ব্যবসা ভালো অবস্থায় আসায় তারা কাগজে-কলমে নিজেদের অংশ নিতে চাইছে। আমার ন্যায্য পাওনাটা বুঝে নিতে চাই। সম্পত্তির কতটা আমার হবে? জমিজমা এখনো বাবার নামে, আর ব্যবসাটা মায়ের নামে রয়েছে। গত মাসে মাও মারা গেছেন। তাই ভাগের হিসাব কীভাবে হবে বুঝতে পারছি না। নিজের হাতে ব্যবসাটাকে এই জায়গায় এনেছি। এর সুফলও কি সবাই একই রকম পাবে?",no,,
ajke_0192_01,Sarwad,65,প্রশ্ন: আমার বাবা একজন ব্যাংক কর্মকর্তা ছিলেন। তিনি সম্প্রতি মারা গেছেন। বাবা বেঁচে থাকা অবস্থায় আমাদের দেশের বাড়িতে দাদার জমির ওপরে একটা বাড়ি করেছিলেন। বাবা মারা যাওয়ার পর আমার চাচাতো ভাইয়েরা বাড়িটিতে উঠতে চাইছেন। জমি আমার দাদার নামে হওয়ায় কোনো কাগজপত্র আমাদের নামে নেই। কিন্তু বাড়ি পুরোটাই আমার বাবা বানিয়েছেন। এ ক্ষেত্রে আমি আর আমার ভাই (বয়স ২৮) কি বাড়ির কোনো কাগজ তৈরি করতে পারব?,আমার বাবা ব্যাংকে কর্মকর্তা হিসেবে কাজ করতেন। কিছুদিন হলো তিনি মারা গেছেন। জীবিত থাকতে গ্রামের বাড়িতে দাদার জমিতে একটা বাড়ি বানিয়েছিলেন। বাবার মৃত্যুর পর চাচাতো ভাইয়েরা সেখানে থাকতে উঠতে চাইছেন। জমির মালিক হিসেবে দাদার নাম থাকায় আমাদের নামে কোনো দলিল নেই। অথচ বাড়ির পুরো নির্মাণ বাবাই করেছেন। আমি আর আমার ২৮ বছর বয়সী ভাই কি এখন ওই বাড়ির জন্য নিজেদের নামে কোনো কাগজপত্র করতে পারব?,no,,
ajke_0199_01,Sarwad,38,আমি দেশের বাইরে পড়তে যেতে চাই। ছোট বোনের লেখাপড়া বাকি। আমরা চাইলেও আমাদের বাবার বাড়িতে যেতে পারছি না। বাবার নামের জমিজমা থেকে কোনো ফসলও আমাদের দেওয়া হয় না। জমি কিংবা বাড়ির জন্য কীভাবে আমরা আইনি সহায়তা পেতে পারি?,বিদেশে গিয়ে পড়াশোনা করতে চাই আমি। আমার ছোট বোনেরও পড়া এখনো শেষ হয়নি। ইচ্ছা থাকলেও বাবার বাড়িতে ঢুকতে পারছি না। তাঁর নামে থাকা জমির ফসলও আমাদের দেয় না। ওই বাড়ি বা জমির অধিকার পেতে আইনের সাহায্য নেব কীভাবে?,no,,
ajke_0208_01,Sarwad,169,"প্রশ্ন: আমি বিবাহিত এবং একটি বেসরকারি প্রতিষ্ঠানে কর্মরত। আমার বড় ভাই আছেন। মা-বাবা মারা যাওয়ার পর বড় ভাইয়ের পরিবার আমার সঙ্গে যোগাযোগ করছে না। এমনকি বড় ভাই ফোন ধরেন না। আমার জানার বিষয় ছিল, বাবার সম্পত্তিতে আমি কত অংশ পাব? আমি কীভাবে এই সম্পত্তি পেতে পারি? নাবিলা, বগুড়া উওর: আপনার দাদা-দাদি জীবিত আছেন কি না, সেটা বলেননি। যদি দাদা-দাদি জীবিত না থাকেন, তাহলে বাবার সম্পত্তিতে আপনি তিন ভাগের এক ভাগ পাবেন। আর দাদা-দাদি জীবিত থাকলে আপনি পুরো সম্পত্তির ১৮ ভাগের ৪ ভাগ পাবেন। সম্পত্তি পাওয়ার জন্য নিজেদের মধ্যে আপস বণ্টন করে নিতে পারেন। সেটা সম্ভব না হলে বাঁটোয়ারা মোকদ্দমা করতে হবে। প্রশ্ন: মা-বাবা মারা যাওয়ার আগে আমাদের জায়গাজমি, ভিটেমাটি সমান অংশে ভাগ করে দিয়ে গেছেন। ভিটেমাটি ভাগ করার পর আমার বড় ভাই তাঁর এক সন্তান রেখে মারা যান। কয়েক মাস পর আমার ভাবি তাঁদের অংশে বাড়ি নির্মাণ করেন। কিন্তু তিনি এমনভাবে বাড়ি তৈরি করেছেন, তাতে আমার চলাচলে অসুবিধা হচ্ছে। চলাচলের জন্য তিনি রাস্তা দিচ্ছেন না। আমি একজন কর্মজীবী নারী। এখন কী করতে পারি? জমির অংশ পরিবর্তন করতে পারব কি?","প্রশ্ন: আমি বিয়ে করেছি, একটি বেসরকারি প্রতিষ্ঠানে চাকরিও করি। আমার একজন বড় ভাই আছেন। বাবা-মায়ের মৃত্যুর পর তাঁর পরিবারের কেউ আর যোগাযোগ করে না, ভাইও ফোন ধরেন না। বাবার রেখে যাওয়া সম্পত্তির কতটুকু আমার প্রাপ্য? সেই অংশ বুঝে পেতে কী করব? উত্তর: দাদা-দাদি বেঁচে আছেন কি না জানাননি। তাঁরা না থাকলে বাবার সম্পত্তির তিন ভাগের এক ভাগ আপনার হবে। তাঁরা জীবিত থাকলে মোট সম্পত্তির ১৮ ভাগের ৪ ভাগ পাবেন। নিজেদের মধ্যে মিটমাট করে ভাগ করে নিতে পারেন। তা না হলে বাঁটোয়ারার মামলা করতে হবে। প্রশ্ন: মৃত্যুর আগেই মা-বাবা আমাদের জমি আর বসতভিটা সমান ভাগে দিয়ে গিয়েছিলেন। ভিটা ভাগ হওয়ার পরে বড় ভাই এক সন্তান রেখে মারা যান। কয়েক মাসের মাথায় ভাবি তাঁদের জমিতে বাড়ি তোলেন। কিন্তু বাড়িটা যেভাবে বানিয়েছেন, তাতে আমার যাতায়াতে সমস্যা হচ্ছে। যাওয়ার রাস্তা তিনি ছাড়ছেন না। আমি চাকরি করা একজন নারী। এমন অবস্থায় কী উপায় আছে? জমির ভাগ কি বদলে নেওয়া সম্ভব?",yes,একই ঘরে দুটি প্রশ্ন ও প্রথম প্রশ্নের উত্তর জোড়া আছে; সব উপস্থিত অংশ পুনর্লিখন করা হয়েছে।,
dail_0629_02,Sarwad,117,"Nurullah Dhaka Response Thank you very much for your query. Upon receipt of the query I have understood that you are desirous to know about your right to receive information from Government offices and Private authorities. According to the Right to Information Act 2009 (hereinafter referred as “the Act”) every citizen of Bangladesh has a right to information from the Authority and the Authority shall, on demand from a citizen, be bound to provide such information. Hence, you, as the citizen of Bangladesh, have the right to receive any information from the Authority. However, the law has set down certain procedures for getting such information. However, at the very outset let us understand who is the “Authority”?","Response: Many thanks for writing with your question. From what you have asked, I understand that you want to know whether you can obtain information from government offices and private bodies. The Right to Information Act 2009, which I will call ‘the Act’, gives every Bangladeshi citizen the right to information held by an Authority. When a citizen requests that information, the Authority is required to supply it. As a citizen of Bangladesh, you therefore have the right to ask the Authority for any information. There are, however, steps laid down in the law that you must follow to obtain it. Before looking at those steps, what exactly does the term ‘Authority’ mean?",yes,"এটি মূল প্রশ্ন নয়, পরিচয়-ঠিকানার পর জোড়া দেওয়া ইংরেজি উত্তরের অংশ; মূল ভাষা ও উপস্থিত বক্তব্য রাখা হয়েছে।",
lawy_0220_01,Sarwad,8,বোনেরা বাবার সম্পত্তির ভিটেবাড়ি থেকে কেন বঞ্চিত হবেন?,বাবার রেখে যাওয়া বসতভিটায় বোনদের ভাগ দেওয়া হবে না কেন?,no,,
lawy_0290_01,Sarwad,8,"কেনার আগে জেনে নিন, জমি কিনছেন নাকি হয়রানি?",জমি কিনতে গিয়ে ঝামেলা কিনছেন না তো? আগেই খোঁজ নিন।,no,,
lawy_0322_01,Sarwad,8,হিন্দু নারীর জীবন ও সম্পদে এতো বৈষম্য কেন?,জীবন আর সম্পত্তির বেলায় হিন্দু মেয়েদের এত অসমতা সইতে হয় কেন?,no,,
lawy_0350_01,Sarwad,10,"উত্তরাধিকার না নমিনি, কে পাবে মৃত ব্যক্তির ব্যাংকের গচ্ছিত অর্থ?","ব্যাংকে মৃতের জমা টাকা কার প্রাপ্য—নমিনির, না তাঁর ওয়ারিশদের?",no,,
lawy_0363_01,Sarwad,8,ব্যাংকে রেখে যাওয়া মৃত ব্যাক্তির আমানত কে পাবে?,কেউ মারা গেলে ব্যাংকে তাঁর জমানো টাকাটা কে পাবেন?,no,,
lawy_0386_01,Sarwad,11,ফৌজদারি মামলায় সরকারি কর্মকর্তা কর্মচারী দণ্ডিত হলেই কি তিনি চাকরি হারাবেন?,সরকারি কোনো কর্মকর্তা বা কর্মচারী ফৌজদারি মামলায় সাজা পেলেই কি তাঁর চাকরি চলে যায়?,no,,
lawy_0413_01,Sarwad,11,"মুসলিমরা কি ‘বিশেষ বিবাহ আইনে’ বিয়ে করতে পারে, আইন কি বলে?",বিশেষ বিবাহ আইনের আওতায় মুসলমানদের বিয়ে করা যায় কি? আইনে কী আছে?,no,,
lawy_0437_01,Sarwad,10,"বিবাহ, মোহরানা ও তালাক নিয়ে ভ্রান্ত ধারণায় আইন কি বলে?","বিয়ে, দেনমোহর আর তালাক নিয়ে যে ভুল ধারণাগুলো আছে, আইন সেগুলো সম্পর্কে কী জানায়?",no,,
lawy_0500_01,Sarwad,9,জেনে নিন বিদেশে অবস্থানকালে কিভাবে পাওয়ার অব এ্যাটর্নি করবেন,বিদেশে থাকলে পাওয়ার অব অ্যাটর্নি করার উপায়টা জেনে নিন।,no,,
prot_0000_02,Sarwad,76,"আমি স্নাতক (সম্মান) শেষ বর্ষের পরীক্ষা দেব। আমার সঙ্গে হিন্দুধর্মাবলম্বী একজন মেয়ের সম্পর্ক রয়েছে। আমরা দুজন দুজনকেই অনেক বেশি ভালোবাসি। কিছুদিন আগে ওর পরিবার সব বুঝতে পারে। ওকে এক মাস ঘরে আটকে রেখে জোর করে বিয়ে দেয়। আজ বিয়ে হওয়ার প্রায় দুই মাস হয়ে গেল। ও আমার কাছে ফিরে আসতে চায়। আমার জন্য সব করতে পারবে। আমিও চাই। আসলে আইন কী বলছে, আমি তা জানতে চাই। আমরা কি বিয়ে করতে পারব? আর আমাদের কী করা উচিত?","সামনে আমার অনার্স শেষ বর্ষের পরীক্ষা। একটি হিন্দু মেয়ের সঙ্গে আমার প্রেমের সম্পর্ক আছে। আমরা একে অন্যকে খুব ভালোবাসি। কিছুদিন আগে ওর বাড়ির লোকজন আমাদের ব্যাপারটা জেনে যায়। তারপর এক মাস ঘরে বন্দী করে রেখে জোর করে ওকে বিয়ে দেয়। সেই বিয়ের পর এখন প্রায় দুই মাস কেটে গেছে। মেয়েটি আবার আমার কাছে আসতে চাইছে, আমার জন্য সবকিছু করতে রাজি। আমিও ওকে ফিরে পেতে চাই। এ ব্যাপারে আইনে কী আছে জানতে চাইছি। আমাদের কি বিয়ে করা সম্ভব? এখন দুজনের কী করা দরকার?",no,,
prot_0002_02,Sarwad,34,"আমরা তিন বোন, আমাদের কোনো ভাই নেই। আমার বাবা মানসিকভাবে অসুস্থ। আইন অনুযায়ী বাবা উইল না করলে কি আমরা বাবার সব সম্পত্তির মালিক হতে পারব? যেহেতু তিনি মানসিকভাবে অসুস্থ, সে ক্ষেত্রে আমাদের কী করণীয়?","আমরা তিন বোন, ভাই কেউ নেই। বাবা মানসিক অসুস্থতায় ভুগছেন। তিনি উইল করে না গেলে কি আইনের হিসাবে তাঁর পুরো সম্পত্তি আমাদের হবে? বাবার এই অসুস্থতার কথা বিবেচনায় এখন আমাদের কী করতে হবে?",no,,
prot_0004_02,Sarwad,78,"আমরা পাঁচ ভাই, এক বোন। আমি দ্বিতীয়। আমার বড় ভাই আমার মেজো চাচার মেয়েকে বিয়ে করেছিলেন। তাঁর দুই মেয়ে (চার ও তিন বছর বয়সী)। ভাই ও ভাবির সম্পর্ক বেশি ভালো ছিল না। ভাবির বাবা-মাসহ পুরো পরিবার চট্টগ্রাম থাকেন, বিধায় ভাবি বেশির ভাগ সময় ওখানেই থাকতেন। দু-তিন আগে আমাদের পাশের গ্রামের এক মহিলাকে নিয়ে ভাই বাড়ি থেকে পালিয়ে গেছেন। এখন ভাবি ও তাঁর পরিবার থেকে আমাদের দেনাপাওনা বুঝিয়ে দিতে বলছে। এখন এ অবস্থায় আমরা কী করতে পারি? মো. সাইফুল","আমরা পাঁচ ভাই আর এক বোন, ভাইদের মধ্যে আমি দ্বিতীয়। বড় ভাই মেজো চাচার মেয়েকে বিয়ে করেন। তাঁদের দুই মেয়ের বয়স চার ও তিন বছর। ভাই-ভাবির মধ্যে তেমন বনিবনা ছিল না। ভাবির মা-বাবা ও পরিবারের সবাই অন্য এক শহরে থাকেন বলে ভাবিও বেশির ভাগ সময় সেখানেই থাকতেন। দু-তিন আগে পাশের গ্রামের এক নারীকে নিয়ে ভাই পালিয়ে গেছেন। এখন ভাবি এবং তাঁর বাড়ির লোকজন আমাদের কাছে দেনাপাওনা মিটিয়ে দেওয়ার কথা বলছেন। এই পরিস্থিতিতে আমরা কী করতে পারি?",yes,মূলের ‘দু-তিন আগে’ কথায় সময়ের একক নেই; দিন/মাস অনুমান করে যোগ করা হয়নি।,
prot_0008_03,Sarwad,14,আর আমার কোনো সাজা হলে সরকারি চাকরির ক্ষেত্রে তার কোন প্রভাব পড়বে কি না?,"আর যদি আমার শাস্তি হয়, তাহলে সরকারি চাকরির ওপর কি সেটার কোনো প্রভাব পড়বে?",no,আগের প্রসঙ্গ অনুপস্থিত; কোন অপরাধ বা শাস্তির কথা বলা হচ্ছে জানা যায় না।,
prot_0008_07,Sarwad,39,"এখন বোন আমাদের কাছে আছেন। আমরা খুব গরিব, মামলা করার মতো অবস্থা নেই। আবার বোনকে রাখার মতো অবস্থাও নেই। আমরা তাঁদের ছাড়াছাড়িও চাই না। এই অবস্থায় আমরা কোথায় যাব, কীভাবে সম্পর্কটা টিকিয়ে রাখতে পারি বা আইনি সাহায্য পেতে পারি?","বোন এখন আমাদের সঙ্গেই থাকে। এত অভাব যে মামলা চালানোর সামর্থ্য নেই, তাকে নিজেদের কাছে রাখার ব্যবস্থাও করতে পারছি না। আবার তার সংসার ভেঙে যাক, সেটাও চাই না। কোথায় গেলে সাহায্য পাব? সম্পর্কটা বাঁচাতে বা আইনি সহায়তা নিতে আমরা কী করতে পারি?",no,শুরুর ঘটনার বিবরণ নেই; উপস্থিত শেষ অংশটুকু পুনর্লিখন করা হয়েছে।,
prot_0010_02,Sarwad,66,আমার এক আত্মীয় ২০১৪ সালে মা-বাবার পছন্দে বিয়ে করেন। বিয়ের ছয়-সাত মাস পর স্বামী-স্ত্রীর ঝগড়া-বিবাদ ও মতের মিল না হওয়ায় এবং অভিভাবকদের মনোমালিন্যের কারণে তাঁরা আলাদা হয়ে যান। স্ত্রী বর্তমানে বাবার বাড়িতে আছেন। কাবিনের অর্ধেক টাকা স্ত্রীকে পরিশোধ করা হয়েছে। স্ত্রী স্বামীর ঘরে ফিরে যেতে চান না। এ অবস্থায় কীভাবে আইনসিদ্ধভাবে তালাক দেওয়া যায়? দীর্ঘদিন যাবৎ স্বামী-স্ত্রী বা দুই পরিবারের কোনো যোগাযোগ নেই। দীন মোহাম্মদ সিলেট,২০১৪ সালে আমার এক আত্মীয় বাবা-মায়ের পছন্দ করা মেয়েকে বিয়ে করেন। ছয়-সাত মাস যেতে না যেতেই স্বামী-স্ত্রীর ঝগড়া আর মতের অমিল শুরু হয়। দুই পক্ষের অভিভাবকদেরও মনোমালিন্য হওয়ায় তাঁরা আলাদা থাকেন। স্ত্রী এখন বাবার বাড়িতে। দেনমোহরের অর্ধেক তাঁকে দেওয়া হয়েছে। তিনি আর স্বামীর কাছে ফিরতে চান না। এমন অবস্থায় আইনের নিয়ম মেনে তালাক দেওয়ার উপায় কী? বহুদিন ধরে স্বামী-স্ত্রী কিংবা দুই পরিবারের কারও মধ্যে যোগাযোগ নেই।,yes,,
prot_0013_03,Sarwad,133,"বছর। আমি একটি মেয়ের সঙ্গে ফোনে কথা বলতাম। দেখাও করেছি। কথা বলতে বলতে একদিন মেয়েটা আমাকে ওর বাসায় ডেকে নিয়ে যায়। সেখানে আমাকে আটকে রাখে। জোর করে মেয়েটির সঙ্গে আমার বিয়ে দেওয়া হয়। ওখানে আমাদের কেউ ছিল না। তখন আমি ভুল ঠিকানা দিই। আর আমার বিয়ের দেনমোহর ছয় লাখ টাকা ধার্য করা হয়। বিয়ের পর তিন মাস পার হয়েছে। এখন আমার পরিবার এবং আমিও তাকে মেনে নিতে পারছি না। আর কোনো দিনও মেনে নেব না। আমার ঠিকানা ভুল দেওয়া আছে। মেয়ের বয়সও ১৮ বছর হয়নি। এখন কী করতে পারি? আর মেয়েটা কি কিছু করতে পারবে? কামাল l ১৮ বছরের নিচে মেয়ের বিবাহ প্রদান দণ্ডনীয় অপরাধ। আপনার বিয়ে কীভাবে হয়েছে, তা চিঠিতে উল্লেখ নেই। আইনগতভাবে বিবাহ হয়ে থাকলে আপনি তালাক দিতে পারেন। জোর করে বিবাহ হলে এ ব্যাপারে নিকটস্থ থানায় জিডি করে রাখতে পারেন","বছর। এক মেয়ের সঙ্গে ফোনে আলাপ করতাম, দেখাও হয়েছিল। একদিন কথা বলার সময় সে আমাকে ওদের বাসায় আসতে বলে। সেখানে যাওয়ার পর আমাকে আটকে ফেলে তার সঙ্গে জোর করে বিয়ে দেওয়া হয়। আমার পক্ষের কেউ সেখানে ছিল না। তখন নিজের ঠিকানা ভুল বলেছিলাম। দেনমোহর ঠিক হয় ছয় লাখ টাকা। বিয়ের পর এখন তিন মাস গেছে। আমি বা আমার পরিবারের কেউ তাকে গ্রহণ করতে পারছি না, ভবিষ্যতেও করব না। কাগজে আমার ঠিকানা ভুল, আর মেয়েটির বয়সও ১৮ হয়নি। এখন আমার উপায় কী? মেয়েটি কি আমার বিরুদ্ধে কিছু করতে পারবে? উত্তর: ১৮ বছরের কম বয়সী মেয়েকে বিয়ে দেওয়া শাস্তি হওয়ার মতো অপরাধ। চিঠিতে বিয়েটা কীভাবে সম্পন্ন হয়েছে তা জানাননি। আইন মেনে বিয়ে হয়ে থাকলে তালাক দেওয়া যায়। বিয়ে জোর করে দেওয়া হলে কাছের থানায় বিষয়টি জানিয়ে জিডি রাখতে পারেন।",yes,"শুরুতে শুধু ‘বছর’ আছে, বয়সের সংখ্যা নেই। প্রশ্নের সঙ্গে উত্তরও জোড়া আছে; উভয় অংশ রাখা হয়েছে।",
